company_name,job_title,min_experience,avg_salary
TCS,Data Scientist,2,7.8
Accenture,Data Scientist,2,12.8
IBM,Data Scientist,2,13.4
Cognizant,Data Scientist,2,9.8
Capgemini,Data Scientist,2,8.6
Infosys,Data Scientist,2,9.3
Wipro,Data Scientist,2,9.7
Tech Mahindra,Data Scientist,2,7.6
Fractal Analytics,Data Scientist,2,15.9
Deloitte,Data Scientist,2,14.2
Ericsson,Data Scientist,3,14.6
HCL Technologies,Data Scientist,2,9.8
Amazon,Data Scientist,2,28.1
UnitedHealth,Data Scientist,2,14.8
Mu Sigma,Data Scientist,1,7.4
Ab Inbev,Data Scientist,2,20.6
L&T Infotech,Data Scientist,2,11.6
Tiger Analytics,Data Scientist,2,14.8
Optum,Data Scientist,2,16.6
Ernst & Young,Data Scientist,2,12.4
Mindtree,Data Scientist,2,10.6
Walmart,Data Scientist,2,28.3
DXC Technology,Data Scientist,2,10.0
Microsoft Corporation,Data Scientist,1,32.1
Genpact,Data Scientist,2,12.2
Hewlett-Packard Enterprise,Data Scientist,2,16.6
Ford Motor,Data Scientist,2,14.4
Reliance jio,Data Scientist,1,15.6
Verizon,Data Scientist,3,14.2
IQVIA,Data Scientist,2,11.4
Shell,Data Scientist,3,20.9
PayPal,Data Scientist,3,27.7
JP Morgan Chase,Data Scientist,2,20.5
EXL Service,Data Scientist,1,14.0
American Express,Data Scientist,2,17.7
Vodafone Idea,Data Scientist,2,13.4
HDFC Bank,Data Scientist,0,15.3
Great Learning,Data Scientist,0,9.3
Reliance Industries,Data Scientist,1,10.4
ZS,Data Scientist,1,16.9
Oracle,Data Scientist,2,16.3
Novartis Healthcare,Data Scientist,2,21.9
TheMathCompany,Data Scientist,2,10.5
PwC,Data Scientist,2,12.6
SAP,Data Scientist,2,17.4
Legato Health Technologies,Data Scientist,1,14.3
Impact Analytics,Data Scientist,0,9.0
Innominds Software,Data Scientist,1,10.7
Flipkart,Data Scientist,0,23.2
Innodatatics,Data Scientist,0,4.5
KPMG,Data Scientist,2,14.1
NTT DATA,Data Scientist,2,7.7
HSBC,Data Scientist,2,14.1
Societe Generale,Data Scientist,1,18.2
Mphasis,Data Scientist,2,8.9
Mercedes-Benz Research & Development India,Data Scientist,2,14.1
BEPEC Solutions,Data Scientist,1,4.9
Brillio,Data Scientist,1,16.0
ABC,Data Scientist,2,19.2
WNS,Data Scientist,1,11.4
Hexaware Technologies,Data Scientist,0,9.7
International School of Engineering,Data Scientist,1,10.5
Wells Fargo India,Data Scientist,2,15.4
Kyndryl,Data Scientist,3,14.1
eClerx,Data Scientist,2,9.3
DBS Bank,Data Scientist,2,14.3
Cyient,Data Scientist,2,10.4
Nagarro,Data Scientist,1,12.1
Freelancer.com,Data Scientist,1,7.1
Cisco Systems,Data Scientist,2,19.0
Bajaj Finserv,Data Scientist,1,11.9
Dell,Data Scientist,1,17.0
Dunnhumby,Data Scientist,1,12.9
Honeywell Technology Solutions,Data Scientist,2,15.1
Bristlecone,Data Scientist,1,9.0
Sigmoid Analytics,Data Scientist,0,14.9
Applied Materials,Data Scientist,2,14.2
Citicorp,Data Scientist,2,19.2
Siemens,Data Scientist,2,13.5
MasterCard,Data Scientist,2,19.6
Bosch Global Software Technologies,Data Scientist,2,11.9
Wolters Kluwer,Data Scientist,0,12.5
Birlasoft,Data Scientist,2,8.0
Atos,Data Scientist,2,13.0
Info Edge,Data Scientist,0,16.9
VMware Software,Data Scientist,4,23.6
Course5,Data Scientist,1,8.1
Bridgei2i Analytics Solutions,Data Scientist,2,9.4
Larsen & Toubro Limited,Data Scientist,1,9.4
iNeuron.ai,Data Scientist,0,5.1
Tredence,Data Scientist,2,14.4
Enquero,Data Scientist,0,11.5
R Systems International,Data Scientist,2,16.2
UST,Data Scientist,3,9.8
Cgi Group,Data Scientist,2,8.2
Bank of America,Data Scientist,2,22.8
Axis Bank,Data Scientist,1,11.7
Ganit Business Solutions,Data Scientist,3,12.6
Virtusa Consulting Services,Data Scientist,1,9.7
ITC Infotech India,Data Scientist,2,10.9
Gramener,Data Scientist,1,9.8
Subex,Data Scientist,1,10.8
Xoriant,Data Scientist,2,10.4
Caterpillar Inc,Data Scientist,2,12.8
ICICI Bank,Data Scientist,0,11.9
Freelance Consultants,Data Scientist,1,10.2
Sutherland Global Services,Data Scientist,1,8.5
Prodapt Solutions,Data Scientist,1,6.9
Rubixe,Data Scientist,0,4.7
NDS InfoServ,Data Scientist,0,9.1
Zensar Technologies,Data Scientist,1,8.2
Fidelity National Information Services,Data Scientist,3,10.9
KPIT Technologies,Data Scientist,1,7.7
Citibank,Data Scientist,2,17.3
ValueLabs,Data Scientist,2,14.6
ABB Group,Data Scientist,2,13.0
L&T Financial Services,Data Scientist,1,9.3
Value c Consulting India,Data Scientist,2,5.2
Lumiq.ai,Data Scientist,0,8.3
Flip Robo Technologies,Data Scientist,1,4.7
Philips,Data Scientist,3,17.9
Nokia,Data Scientist,2,13.0
Confidential,Data Scientist,1,8.5
Tata Technologies,Data Scientist,0,6.6
Nielsen,Data Scientist,1,7.0
Kantar,Data Scientist,3,11.5
Persistent Systems,Data Scientist,2,10.5
Exl India,Data Scientist,1,14.0
Blue Yonder,Data Scientist,3,20.6
Brane Enterprises,Data Scientist,1,14.0
Micron Technology,Data Scientist,0,16.4
Indegene,Data Scientist,0,9.6
CARS24.com,Data Scientist,1,20.3
GlobalLogic,Data Scientist,2,14.6
Maersk,Data Scientist,4,20.9
Barclays,Data Scientist,2,18.2
Indium Software,Data Scientist,1,7.9
Celebal Technologies,Data Scientist,0,8.6
Affine Analytics,Data Scientist,1,9.7
Fidelity Investment,Data Scientist,3,23.4
Jio Platforms,Data Scientist,2,13.9
Happiest Minds Technologies,Data Scientist,1,8.7
Adobe,Data Scientist,3,29.4
CitiusTech,Data Scientist,2,10.4
Scienaptic Systems,Data Scientist,0,14.6
Boeing,Data Scientist,1,19.4
Citigroup,Data Scientist,1,18.4
Marlabs,Data Scientist,0,9.3
TransOrg Analytics,Data Scientist,1,9.4
T-Systems,Data Scientist,3,14.1
Sopra Steria,Data Scientist,3,12.1
Apexon,Data Scientist,2,7.5
Embibe,Data Scientist,0,16.6
Quest Global,Data Scientist,2,6.7
Harman Connected Services,Data Scientist,3,13.6
Exxon Mobil,Data Scientist,2,23.2
Ugam Solution,Data Scientist,0,9.8
L&T Technology Services,Data Scientist,1,8.7
Credit Suisse,Data Scientist,2,17.4
Iris Software,Data Scientist,5,18.5
Delhivery,Data Scientist,1,15.6
Abzooba India Infotech,Data Scientist,1,15.0
Sonata Software,Data Scientist,1,8.1
Incedo,Data Scientist,1,12.2
Go-Jek,Data Scientist,3,30.5
GE,Data Scientist,2,14.3
Fiserv,Data Scientist,3,12.1
UBS,Data Scientist,2,15.2
Quantiphi Analytics Solutions,Data Scientist,0,9.8
Amdocs,Data Scientist,2,8.5
Apple,Data Scientist,2,33.6
Oyo Rooms,Data Scientist,0,14.7
iOPEX Technologies,Data Scientist,1,7.9
Yash Technologies,Data Scientist,2,11.2
Franklin Templeton Investments,Data Scientist,3,27.7
N+A,Data Scientist,0,8.6
ICICI Lombard General Insurance Company,Data Scientist,0,12.1
Reserve Bank Information Technology,Data Scientist,2,15.9
o9 Solutions,Data Scientist,1,13.8
HTC Global Services,Data Scientist,1,6.4
Accolite Digital,Data Scientist,0,14.5
Wipro Digital,Data Scientist,1,11.1
CSS Corp,Data Scientist,0,10.2
Morgan Stanley,Data Scientist,2,18.1
Zee Entertainment Enterprises,Data Scientist,1,16.7
Ola Cabs,Data Scientist,1,21.9
NatWest Markets,Data Scientist,1,16.0
Myntra,Data Scientist,2,16.9
TCS,Business Analyst,2,6.9
Accenture,Business Analyst,1,7.0
Genpact,Business Analyst,1,6.4
Wipro,Business Analyst,2,8.6
Cognizant,Business Analyst,1,8.6
Deloitte,Business Analyst,1,7.8
HCL Technologies,Business Analyst,1,6.6
Evalueserve,Business Analyst,1,6.5
Infosys,Business Analyst,1,8.9
IBM,Business Analyst,2,8.3
DXC Technology,Business Analyst,2,7.7
Tech Mahindra,Business Analyst,2,7.6
American Express,Business Analyst,1,8.3
Capgemini,Business Analyst,2,9.1
Societe Generale,Business Analyst,3,13.5
EXL Service,Business Analyst,0,6.2
Amazon,Business Analyst,2,11.3
HSBC,Business Analyst,2,12.1
ICICI Bank,Business Analyst,1,6.7
JP Morgan Chase,Business Analyst,2,12.4
Zomato,Business Analyst,1,10.7
L&T Infotech,Business Analyst,2,9.7
Shell,Business Analyst,4,19.5
Barclays,Business Analyst,2,12.3
Cgi Group,Business Analyst,2,6.9
Oracle,Business Analyst,1,5.5
Amdocs,Business Analyst,4,12.1
Conduent,Business Analyst,2,6.1
Fidelity National Information Services,Business Analyst,3,10.8
HDFC Bank,Business Analyst,2,7.9
Novo Nordisk,Business Analyst,4,11.5
Axis Bank,Business Analyst,1,9.7
Ernst & Young,Business Analyst,1,8.8
Credit Suisse,Business Analyst,2,15.2
Hewlett-Packard Enterprise,Business Analyst,2,6.7
CG Foods,Business Analyst,0,4.8
Quantiphi Analytics Solutions,Business Analyst,0,8.9
NetCracker,Business Analyst,5,18.7
Oyo Rooms,Business Analyst,0,10.2
VMware Software,Business Analyst,3,9.8
Mphasis,Business Analyst,1,10.0
Exl India,Business Analyst,0,6.3
Mindtree,Business Analyst,2,9.5
Newgen Software Technologies,Business Analyst,2,9.3
NTT DATA,Business Analyst,2,7.3
Hexaware Technologies,Business Analyst,2,10.0
Temenos,Business Analyst,2,8.8
Wells Fargo India,Business Analyst,3,12.0
Barclays Shared Services,Business Analyst,1,8.3
Bridgei2i Analytics Solutions,Business Analyst,0,6.0
Tata Technologies,Business Analyst,3,6.4
Standard Chartered Bank,Business Analyst,2,12.0
Mu Sigma,Business Analyst,1,6.9
Virtusa Consulting Services,Business Analyst,2,10.6
Allianz Technology,Business Analyst,3,8.2
Kotak Mahindra Bank,Business Analyst,1,7.5
Citicorp,Business Analyst,2,15.6
BNP Paribas,Business Analyst,3,10.7
UST,Business Analyst,3,11.1
Flipkart,Business Analyst,1,12.3
Barclays Global Service Centre,Business Analyst,1,11.7
BNY Mellon,Business Analyst,3,8.5
Optum,Business Analyst,2,8.6
Ola Cabs,Business Analyst,0,11.3
UBS,Business Analyst,2,14.5
Odessa,Business Analyst,1,11.0
bnp paribas india solutions,Business Analyst,3,10.2
UnitedHealth,Business Analyst,2,8.3
HCL Technologies BPO Services,Business Analyst,1,2.3
Ramco Systems,Business Analyst,1,7.6
Tredence,Business Analyst,0,6.9
Novartis Healthcare,Business Analyst,1,10.0
Atos Syntel,Business Analyst,2,7.6
Cisco Systems,Business Analyst,2,12.5
ITC Infotech India,Business Analyst,1,7.8
Deutsche Bank,Business Analyst,2,9.1
Dell,Business Analyst,2,7.0
Paytm,Business Analyst,1,7.7
3i Infotech,Business Analyst,1,6.1
KPMG,Business Analyst,1,8.2
Fiserv,Business Analyst,3,11.6
Zensar Technologies,Business Analyst,2,6.7
Legato Health Technologies,Business Analyst,3,8.0
Swiggy,Business Analyst,1,13.2
GEP Worldwide,Business Analyst,0,6.4
Intellect Design Arena,Business Analyst,2,11.2
Standard Chartered Global Business Services,Business Analyst,2,12.7
ZS,Business Analyst,1,9.6
Concentrix Corporation,Business Analyst,1,5.4
Reliance jio,Business Analyst,1,6.8
NatWest Group,Business Analyst,2,9.5
IQVIA,Business Analyst,1,8.3
PwC,Business Analyst,1,9.9
ValueMomentum,Business Analyst,1,6.1
ADP Solutions,Business Analyst,3,8.2
Provana,Business Analyst,1,4.8
ANR Software,Business Analyst,1,4.5
WNS,Business Analyst,1,6.8
Oracle Financial Services Software,Business Analyst,3,10.2
RevGurus Info India,Business Analyst,0,8.3
Sapiens,Business Analyst,2,12.5
Etech Global Services,Business Analyst,1,6.4
Citibank,Business Analyst,2,16.7
Coforge,Business Analyst,5,16.1
ABC,Business Analyst,3,13.6
Merkle Sokrati,Business Analyst,0,4.5
First Source,Business Analyst,1,4.4
Meesho,Business Analyst,0,14.0
Ebix Software India,Business Analyst,2,7.0
Indus Valley Partners,Business Analyst,1,17.0
Schlumberger,Business Analyst,3,14.5
Capita,Business Analyst,1,5.9
CRMnext,Business Analyst,1,6.6
NeoSoft Technologies,Business Analyst,1,6.9
NSE.IT,Business Analyst,1,6.8
Nokia,Business Analyst,2,9.3
Capco Technologies,Business Analyst,3,13.9
eClerx,Business Analyst,1,3.7
Affine Analytics,Business Analyst,0,6.8
Exela Technologies,Business Analyst,3,8.3
Analytics Quotient,Business Analyst,1,5.3
NIIT Technologies,Business Analyst,3,11.1
QualityKiosk Technologies,Business Analyst,2,7.7
Fidelity Investment,Business Analyst,2,9.9
Altisource,Business Analyst,2,5.5
Polestar Solutions & Services India,Business Analyst,0,6.1
Veeraraghavan & Company,Business Analyst,0,1.7
Verizon,Business Analyst,3,10.5
BYJU'S,Business Analyst,1,7.7
Bank of America,Business Analyst,3,14.1
Better.com,Business Analyst,1,7.8
KJ System,Business Analyst,1,2.9
ValueLabs,Business Analyst,4,11.3
Xyz Company,Business Analyst,3,12.3
IndusInd Bank,Business Analyst,2,8.0
Vinculum Solutions,Business Analyst,1,8.8
Confidential,Business Analyst,1,8.3
Infosys BPM,Business Analyst,0,6.0
General Mills,Business Analyst,2,9.7
Yash Technologies,Business Analyst,4,8.9
Shipco Transport,Business Analyst,1,3.4
Aon,Business Analyst,2,5.4
Persistent Systems,Business Analyst,4,12.5
Unisys,Business Analyst,2,7.7
Azentio,Business Analyst,0,7.1
Synechron,Business Analyst,4,16.4
Ford Motor,Business Analyst,2,8.1
Birlasoft,Business Analyst,2,8.5
Cybage,Business Analyst,5,14.6
Lentra AI,Business Analyst,1,6.8
N+A,Business Analyst,1,6.3
IVY Comptech,Business Analyst,4,14.6
S&P Global,Business Analyst,3,11.1
Gartner,Business Analyst,1,14.2
Acidaes Solutions,Business Analyst,2,7.0
Udaan,Business Analyst,1,11.6
Reliance Industries,Business Analyst,2,8.1
Dell EMC,Business Analyst,2,6.6
GlobalLogic,Business Analyst,2,9.0
eClinicalWorks,Business Analyst,2,5.3
ThoughtWorks,Business Analyst,2,14.7
Landmark Group,Business Analyst,2,11.6
Merilytics,Business Analyst,0,7.0
Care Health Insurance,Business Analyst,0,5.9
Epsilon,Business Analyst,2,9.7
Gartner India Research and Advisory Services,Business Analyst,2,15.4
Globant,Business Analyst,3,13.3
Franklin Templeton Investments,Business Analyst,4,8.2
Atidiv,Business Analyst,1,3.0
Maersk,Business Analyst,4,8.9
Pboplus Consulting Services,Business Analyst,0,4.0
Reliance Retail,Business Analyst,1,7.0
Larsen & Toubro Limited,Business Analyst,0,8.5
TEKsystems,Business Analyst,3,12.0
Hindustan Unilever,Business Analyst,2,7.1
Tata Communications,Business Analyst,1,5.0
Ameriprise Financial,Business Analyst,1,5.9
Goldman Sachs,Business Analyst,0,14.9
Factspan Analytics,Business Analyst,1,8.1
MSC Technology India,Business Analyst,1,4.3
Simplify Healthcare,Business Analyst,1,5.8
CMS Computers Limited (INDIA),Business Analyst,1,4.0
Fluentgrid,Business Analyst,2,5.5
Bajaj Finserv,Business Analyst,1,9.0
Ericsson,Business Analyst,3,9.7
Sonata Software,Business Analyst,1,7.8
CitiusTech,Business Analyst,2,9.0
R1 RCM,Business Analyst,1,3.8
TCS,Data Analyst,1,4.7
Cognizant,Data Analyst,1,5.5
Accenture,Data Analyst,1,5.2
Capgemini,Data Analyst,0,4.6
Wipro,Data Analyst,1,4.8
GlobalLogic,Data Analyst,1,2.5
Tech Mahindra,Data Analyst,1,4.6
Amazon,Data Analyst,1,5.2
Infosys,Data Analyst,1,5.7
HCL Technologies,Data Analyst,1,4.5
eClerx,Data Analyst,0,2.5
IBM,Data Analyst,2,7.6
Ernst & Young,Data Analyst,1,5.8
Flipkart,Data Analyst,1,5.9
Genpact,Data Analyst,1,4.7
Optum,Data Analyst,2,12.8
Concentrix Corporation,Data Analyst,1,3.9
Deloitte,Data Analyst,1,7.6
Zen3 Info Solutions,Data Analyst,1,3.1
Unilog Content Solutions ( P),Data Analyst,1,2.5
Cogencis Information Services,Data Analyst,1,1.7
UnitedHealth,Data Analyst,2,10.7
Qualsquad Infotech,Data Analyst,0,2.0
NTT DATA,Data Analyst,1,4.3
InnovAccer,Data Analyst,0,9.2
Teleperformance,Data Analyst,1,2.4
Mindtree,Data Analyst,1,5.6
Ericsson,Data Analyst,2,5.8
Apex CoVantage,Data Analyst,0,1.8
Tiger Analytics,Data Analyst,0,8.8
Cyient,Data Analyst,1,3.4
Urjanet Energy Solutions,Data Analyst,1,2.7
HSBC,Data Analyst,1,8.0
DXC Technology,Data Analyst,1,5.4
QUADRANT RESOURCE LLC,Data Analyst,1,3.0
PwC,Data Analyst,0,6.3
LatentView Analytics,Data Analyst,0,6.3
EXL Service,Data Analyst,1,5.0
KPMG,Data Analyst,1,6.7
WNS,Data Analyst,1,5.2
Myntra,Data Analyst,1,9.6
IQVIA,Data Analyst,1,7.3
Ugam Solution,Data Analyst,0,4.6
Bharti Airtel,Data Analyst,1,4.6
ICICI Bank,Data Analyst,1,4.9
Walmart,Data Analyst,1,13.9
JP Morgan Chase,Data Analyst,2,10.0
Kantar,Data Analyst,1,4.2
S&P Global,Data Analyst,1,4.4
Axtria,Data Analyst,0,8.8
L&T Infotech,Data Analyst,1,6.6
Nielsen,Data Analyst,1,4.0
Citicorp,Data Analyst,1,12.2
Morningstar,Data Analyst,0,3.6
TheMathCompany,Data Analyst,0,5.2
Hewlett-Packard Enterprise,Data Analyst,2,6.6
Datamatics Global Services,Data Analyst,0,2.1
HERE Technologies,Data Analyst,0,2.6
HDFC Bank,Data Analyst,1,4.6
Nvidia,Data Analyst,1,3.3
Dell,Data Analyst,1,5.8
Zensar Technologies,Data Analyst,1,4.4
Vodafone Idea,Data Analyst,2,5.7
Ardem Data Services,Data Analyst,0,1.9
Fiserv,Data Analyst,2,11.5
Verificient Technologies,Data Analyst,0,2.2
CRG Solutions,Data Analyst,1,5.8
Oracle,Data Analyst,1,5.8
Google,Data Analyst,1,15.5
Swiggy,Data Analyst,1,4.4
Kriya It,Data Analyst,0,1.6
Reliance jio,Data Analyst,1,5.6
Mphasis,Data Analyst,1,5.1
Wells Fargo India,Data Analyst,1,10.3
FE fundinfo,Data Analyst,0,3.3
Oyo Rooms,Data Analyst,1,6.5
Competent Software,Data Analyst,1,3.1
Udaan,Data Analyst,1,5.0
Continental Automotive Components,Data Analyst,1,2.6
E2OPEN,Data Analyst,2,4.1
IHS Markit,Data Analyst,1,5.8
Fidelity National Financial,Data Analyst,0,3.3
Proziod Analytics,Data Analyst,1,3.5
American Express,Data Analyst,1,9.5
Bajaj Finserv,Data Analyst,0,6.5
Optimint Solutions,Data Analyst,0,2.2
Mu Sigma,Data Analyst,1,7.8
Course5,Data Analyst,0,3.5
Paytm,Data Analyst,2,6.0
Straive,Data Analyst,0,2.4
Honeywell Technology Solutions,Data Analyst,2,9.4
Intelligent Image Management Inc,Data Analyst,0,1.4
UnitedLex,Data Analyst,1,3.1
Fidelity National Information Services,Data Analyst,1,5.0
Barclays,Data Analyst,1,11.2
Novartis Healthcare,Data Analyst,2,10.3
R1 RCM,Data Analyst,1,3.4
Nokia,Data Analyst,0,4.2
Bahar Infocons,Data Analyst,1,2.2
Axis Bank,Data Analyst,0,8.2
Freelancer.com,Data Analyst,1,3.7
Virtusa Consulting Services,Data Analyst,1,4.2
Aon,Data Analyst,0,4.6
Conduent,Data Analyst,1,3.9
Schneider Electric,Data Analyst,1,6.3
Citibank,Data Analyst,0,10.4
Sphera Solutions,Data Analyst,0,3.4
Systech Solutions,Data Analyst,0,4.7
Ford Motor,Data Analyst,1,9.6
First Source,Data Analyst,1,2.7
S&P Global Market Intelligence,Data Analyst,1,4.1
UST,Data Analyst,2,7.4
SG Analytics,Data Analyst,1,4.6
Indegene,Data Analyst,1,9.0
Cisco Systems,Data Analyst,3,9.0
Huawei Technologies,Data Analyst,2,4.3
Data Entry,Data Analyst,0,1.7
Shell,Data Analyst,2,13.3
Harman Connected Services,Data Analyst,2,6.0
Johnson & Johnson,Data Analyst,1,5.0
InSync Analytics,Data Analyst,1,2.5
Larsen & Toubro Limited,Data Analyst,1,5.0
Yardi Systems,Data Analyst,2,3.7
Freelance Consultants,Data Analyst,1,3.8
Brillio,Data Analyst,0,5.8
Yodlee,Data Analyst,1,5.5
ABC,Data Analyst,1,9.6
JLL,Data Analyst,1,5.4
Sapient Corporation,Data Analyst,2,7.9
ZS,Data Analyst,1,10.6
Uber,Data Analyst,1,13.0
Numeratr,Data Analyst,0,3.0
Yukthi Datasoft,Data Analyst,1,2.1
Infosys BPM,Data Analyst,1,3.8
Hexaware Technologies,Data Analyst,1,6.4
Ganit Business Solutions,Data Analyst,0,6.0
Fractal Analytics,Data Analyst,1,9.9
CAMP Systems,Data Analyst,1,3.8
Indium Software,Data Analyst,0,7.0
Data Gyan,Data Analyst,0,1.8
Randstad,Data Analyst,1,4.2
Epsilon,Data Analyst,1,9.9
N+A,Data Analyst,0,3.7
The Smart Cube,Data Analyst,0,7.7
Dataction Analytics,Data Analyst,0,2.6
TSWRDC WOMEN'S DEGREE COLLEGE,Data Analyst,0,2.5
LiquidHub,Data Analyst,0,2.6
Sutherland Global Services,Data Analyst,1,4.8
ValueLabs,Data Analyst,1,5.1
HCL Technologies BPO Services,Data Analyst,1,2.9
HUDL,Data Analyst,0,2.9
Mercedes-Benz Research & Development India,Data Analyst,1,10.2
Whitehat jr,Data Analyst,1,5.9
Caterpillar Inc,Data Analyst,1,6.2
General Mills,Data Analyst,0,7.0
BYJU'S,Data Analyst,1,7.0
Hinduja Global Solutions,Data Analyst,1,3.7
Mercer,Data Analyst,0,4.8
Bridgei2i Analytics Solutions,Data Analyst,0,5.3
Annalect,Data Analyst,0,5.6
Verizon,Data Analyst,1,11.4
McKinsey & Company,Data Analyst,1,15.3
ITC Infotech India,Data Analyst,0,7.9
Vaco Binary Semantics,Data Analyst,0,3.7
FedEx Express,Data Analyst,0,7.4
Galytix Analytics,Data Analyst,0,6.0
VeeTechnologies,Data Analyst,1,1.9
APA Engineering,Data Analyst,0,2.0
Tesco,Data Analyst,1,5.5
UBS,Data Analyst,1,9.4
BCG,Data Analyst,2,11.9
Reliance Industries,Data Analyst,1,6.3
Collegedunia,Data Analyst,1,4.0
Thomson Reuters,Data Analyst,1,4.1
Tata Communications,Data Analyst,0,3.9
Cerner,Data Analyst,1,7.3
Sandcube Analytics,Data Analyst,0,2.3
Bank of America,Data Analyst,2,13.9
Stats Systems India,Data Analyst,0,2.1
Objectways Technologies,Data Analyst,0,1.5
Target,Data Analyst,1,8.8
PayPal,Data Analyst,1,17.2
NISC Export Services,Data Analyst,1,3.2
ANZ Banking Group,Data Analyst,2,9.8
Hive,Data Analyst,0,4.2
Crif High Mark Credit Information Services,Data Analyst,2,5.5
Pacecom Technologies,Data Analyst,0,2.1
TCS,Data Engineer,1,5.8
IBM,Data Engineer,1,10.4
L&T Infotech,Data Engineer,1,5.7
Accenture,Data Engineer,1,9.0
Cognizant,Data Engineer,1,7.5
EC-Mobility,Data Engineer,1,2.1
Capgemini,Data Engineer,1,7.4
Infosys,Data Engineer,1,5.5
Fractal Analytics,Data Engineer,2,11.8
Wipro,Data Engineer,1,6.6
Amazon,Data Engineer,2,22.0
Quantiphi Analytics Solutions,Data Engineer,0,10.4
Tech Mahindra,Data Engineer,2,6.5
Mindtree,Data Engineer,1,6.0
DXC Technology,Data Engineer,1,6.6
Deloitte,Data Engineer,1,11.8
Walmart,Data Engineer,3,22.1
Optum,Data Engineer,2,11.1
Shell,Data Engineer,1,17.2
HCL Technologies,Data Engineer,1,9.0
Futurense Technologies,Data Engineer,1,9.5
Tiger Analytics,Data Engineer,1,14.0
Teradata,Data Engineer,3,13.6
Altimetrik,Data Engineer,1,12.6
Ernst & Young,Data Engineer,2,12.8
Maersk,Data Engineer,2,17.0
UnitedHealth,Data Engineer,2,10.3
